,2005-10-25 20:30:00+00:00
agency_cd,USGS
site_no,393304104444201
sample_dt,2005-10-25
sample_tm,14:30
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00010,16.6
p00028,80020
p00090,114
p00095,335
p00191,2e-05
p00300,0.3
p00400,7.8
p00403,8.1
p00405,4.1
p00453,163
p00607,< 0.004 
p00608,0.07
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,E 0.009 
p00671,E 0.003 n
p00681,0.34
p00900,72.4
p00915,24.8
p00925,2.46
p00930,43.4
p00931,2.22
p00932,55
p00935,4.42
p00940,4.84
p00945,27.1
p00950,1.11
p00955,14.0
p01000,< 0.12 
p01005,46.9
p01010,< 0.060 
p01020,50
p01025,0.04
p01030,0.06
p01035,< 0.040 
p01040,< 0.40 
p01046,23.8
p01049,0.1
p01056,37.6
p01057,< 0.040 
p01060,3.76
p01065,E 0.05 n
p01075,< 0.200 
p01080,331
p01085,< 0.10 
p01090,6.7
p01095,< 0.200 
p01106,E 1.4 n
p01130,9.3
p01145,< 0.08 
p07000,0.0
p22703,0.11
p30210,131
p39086,134
p49933,0.73
p49934,0.05
p50280,2001
p62854,0.07
p63676,0.6
p70300,204
p70301,E 203 
p70303,0.28
p71846,0.085
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.108 @
p71999,15.0
p72004,35
p72019,428.27
p75985,0.6
p82081,-12.17
p82082,-107
p82085,-14.03
p90095,328
p99111,1
p99114,0.05
p99115,0.06
p99119,M  
