,2005-12-15 19:30:00+00:00
agency_cd,USGS
site_no,385622104461201
sample_dt,2005-12-15
sample_tm,12:30
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,7
hyd_event_cd,9
sample_lab_cm_txt,
p00010,14.7
p00028,80020
p00090,-299
p00095,167
p00191,5e-05
p00300,0.1
p00400,7.3
p00403,7.6
p00405,6.9
p00607,< 0.06 
p00608,< 0.04 
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,< 0.018 
p00671,< 0.006 
p00681,< 0.33 
p00900,59.3
p00915,19.2
p00925,2.69
p00930,8.25
p00931,0.47
p00932,21
p00935,5.5
p00940,0.57
p00945,12.6
p00950,1.34
p00955,12.3
p01000,< 0.12 
p01005,51.1
p01010,0.095
p01020,15
p01025,< 0.040 
p01030,0.05
p01035,E 0.024 noc
p01040,E 0.2 noc
p01046,2360
p01049,< 0.080 
p01056,46.9
p01057,< 0.040 
p01060,1.87
p01065, 0.27 oc
p01075,< 0.200 
p01080,128
p01085,< 0.10 
p01090, 193 oc
p01095,< 0.200 
p01106,< 1.6 
p01130,16.4
p01145,< 0.08 
p07000,0.0
p22703,< 0.040 
p39086,72
p49933,1.18
p49934,0.05
p50280,2001
p62854,< 0.06 
p63676,1.8
p70300,102
p70301,E 109 
p70303,0.14
p71846,< 0.052 
p71851,< 0.266 
p71856,< 0.026 
p71870,E 0.012 @n
p71999,15.0
p72004,60
p75985,0.6
p82081,-12.99
p82082,-85.0
p82085,-12.13
p90095,158
p99111,30
p99114,2.34
p99115,2.34
p99119,M  
