,2005-08-25 20:00:00+00:00
agency_cd,USGS
site_no,392559104415201
sample_dt,2005-08-25
sample_tm,14:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,X
samp_type_cd,9
hyd_event_cd,X
sample_lab_cm_txt,
p00010,18.3
p00025,606
p00028,80020
p00090,-385
p00095,324
p00191,2e-05
p00300,0.2
p00301,3
p00400,7.7
p00403,8.2
p00405,5.6
p00453,176
p00608,0.12
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.018
p00671,0.006
p00681,E 0.29 n
p00900,50.6
p00915,17.3
p00925,1.72
p00930,60.0
p00931,3.68
p00932,71
p00935,2.98
p00940,3.08
p00945,20.8
p00950,1.75
p00955,13.3
p01000,< 0.2 
p01005,70.9
p01010,< 0.060 
p01020,57
p01025,< 0.040 
p01030,< 0.8 
p01035,0.037
p01040,< 0.4 
p01046,264
p01049,< 0.080 
p01056,16.5
p01057,< 0.040 
p01060,3.96
p01065,0.8
p01075,< 0.200 
p01080,251
p01085,0.3
p01090,50.2
p01095,< 0.200 
p01106,< 1.6 
p01130,2.98
p01145,< 0.4 
p07000,0.6
p22703,< 0.040 
p39086,146
p49933,0.0
p49934,0.05
p50280,2001
p62854,0.1
p63676,3.9
p70300,210
p70301,209
p70303,0.29
p71846,0.149
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.24 c
p71999,15.0
p72004,130
p75985,0.6
p82081,-11.73
p82082,-105
p82085,-14.04
p90095,336
p99111,1
