,2005-11-18 20:00:00+00:00
agency_cd,USGS
site_no,385056104231901
sample_dt,2005-11-18
sample_tm,13:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00010,17.4
p00028,80020
p00090,114
p00095,981
p00191,M  
p00300,0.1
p00400,8.7
p00403,8.7
p00405,0.7
p00452,4
p00453,223
p00607,< 0.03 
p00608,0.49
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.074
p00671,0.024
p00681,0.38
p00900,14.3
p00915,4.89
p00925,0.482
p00930,206
p00931,23.8
p00932,96
p00935,1.64
p00940,7.03
p00945,269
p00950,0.48
p00955,10.1
p01000,< 0.12 
p01005,14.1
p01010,< 0.060 
p01020,37
p01025,< 0.040 
p01030,0.04
p01035,< 0.040 oc
p01040, 1.9 oc
p01046,362
p01049,< 0.080 
p01056,31.6
p01057,< 0.040 
p01060,0.754
p01065, 0.24 oc
p01075,< 0.200 
p01080,81.1
p01085,< 0.10 
p01090, 3.7 oc
p01095,< 0.200 
p01106,E 0.9 n
p01130,41.3
p01145,< 0.08 
p07000,0.6
p22703,< 0.040 
p30210,112
p39086,189
p49933, 0.000 c
p49934, 0.050 c
p50280,2001
p62854,0.53
p63676,4.5
p70300,602
p70301,E 615 
p70303,0.82
p71846,0.635
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.078 @
p71999,15.0
p72004,40
p72019,367.53
p75985,1.0
p82081,-16.05
p82082,-71.3
p82085,-9.99
p90095,966
p99111,1
p99114,0.24
p99115,0.34
p99119,M  
