,2005-10-13 18:00:00+00:00
agency_cd,USGS
site_no,393227104493001
sample_dt,2005-10-13
sample_tm,12:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,X
samp_type_cd,9
hyd_event_cd,X
sample_lab_cm_txt,
p00010,14.7
p00025,617
p00028,80020
p00090,267
p00095,354
p00191,M  
p00300,0.2
p00301,2
p00400,8.3
p00403,7.1
p00405,1.3
p00453,158
p00607,< 0.003 
p00608,0.09
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,E 0.012 
p00671,E 0.004 n
p00681,0.74
p00900,63.2
p00915,21.8
p00925,2.02
p00930,54.5
p00931,2.99
p00932,64
p00935,3.46
p00940,10.1
p00945,34.2
p00950,1.04
p00955,11.0
p01000,0.42
p01005,127
p01010,< 0.060 
p01020,64
p01025,< 0.040 
p01030,< 0.04 
p01035, 0.043 oc
p01040, 9.0 oc
p01046,< 6.0 
p01049,0.105
p01056,19.1
p01057,< 0.040 
p01060,1.56
p01065, 0.54 oc
p01075,< 0.200 
p01080,278
p01085,1.2
p01090, 1.8 oc
p01095,< 0.200 
p01106,< 1.6 
p01130,16.5
p01145,< 0.08 
p07000,7.0
p22703,1.78
p39086,132
p50280,2001
p62854,0.09
p63676,3.0
p70300,220
p70301,E 217 
p70303,0.3
p71846,0.109
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.095 @
p71999,15.0
p72004,35
p75985,1.0
p82082,-109
p82085,-14.38
p90095,353
p99111,1
