,2005-11-17 17:00:00+00:00
agency_cd,USGS
site_no,393659104111801
sample_dt,2005-11-17
sample_tm,10:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00010,17.9
p00028,80020
p00090,-24.1
p00095,507
p00191,M  
p00300,0.0
p00400,9.2
p00403,9.2
p00405,0.2
p00452,18
p00453,267
p00607,< 0.13 
p00608,0.56
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.543
p00671,0.177
p00681,0.59
p00900,2.73
p00915,0.905
p00925,0.108
p00930,118
p00931,31.1
p00932,99
p00935,0.56
p00940,6.94
p00945,2.06
p00950,0.69
p00955,11.9
p01000,< 0.12 
p01005,6.92
p01010,< 0.060 
p01020,151
p01025,< 0.040 
p01030,0.05
p01035,< 0.040 oc
p01040,< 0.4 oc
p01046,21.9
p01049,< 0.080 
p01056,3.06
p01057,< 0.040 
p01060,2.05
p01065, 0.07 oc
p01075,< 0.200 
p01080,15.1
p01085,E 0.05 n
p01090,< 0.6 oc
p01095,< 0.200 
p01106,5.3
p01130,8.74
p01145,< 0.08 
p07000,0.0
p22703,< 0.040 
p30210,69.2
p39086,249
p49933,0.0
p49934,0.05
p50280,2001
p62854,0.68
p63676,1.3
p70300,297
p70301,E 292 
p70303,0.4
p71846,0.717
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.213 @d
p71999,15.0
p72004,80
p72019,226.88
p75985,0.6
p82081,-7.95
p82082,-95.2
p82085,-12.89
p90095,480
p99111,1
p99114,0.02
p99115,0.03
p99119,M  
