,2005-11-16 18:00:00+00:00
agency_cd,USGS
site_no,390707104053001
sample_dt,2005-11-16
sample_tm,11:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00010,14.7
p00028,80020
p00090,23.5
p00095,302
p00191,M  
p00300,M  
p00400,9.4
p00403,9.3
p00405,0.1
p00452,12
p00453,122
p00607,< 0.03 
p00608,0.26
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.46
p00671,0.15
p00681,0.48
p00900,2.05
p00915,0.732
p00925,0.052
p00930,65.2
p00931,19.8
p00932,98
p00935,0.3
p00940, 1.86 c
p00945,21.4
p00950,0.53
p00955,13.5
p01000,< 0.12 
p01005,3.29
p01010,< 0.060 
p01020,62
p01025,< 0.040 
p01030,0.04
p01035,< 0.040 oc
p01040,E 0.3 noc
p01046,7.7
p01049,< 0.080 
p01056,3.79
p01057,< 0.040 
p01060,2.58
p01065, 0.07 oc
p01075,< 0.200 
p01080,9.01
p01085,< 0.10 
p01090, 0.9 oc
p01095,< 0.200 
p01106,5.1
p01130,6.62
p01145,< 0.08 
p07000,0.0
p22703,< 0.040 
p30210,112
p39086,121
p49933,10.54
p49934,0.07
p50280,2001
p62854,0.29
p63676,4.3
p70300,179
p70301,E 177 
p70303,0.24
p71846,0.335
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.045 @
p71999,15.0
p72004,40
p72019,368.04
p75985,0.6
p82081,-9.14
p82082,-84.8
p82085,-11.72
p90095,280
p99111,1
p99114,0.01
p99115,0.02
p99119,M  
