,2005-10-26 17:30:00+00:00
agency_cd,USGS
site_no,400111104354501
sample_dt,2005-10-26
sample_tm,11:30
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00010,15.7
p00020,15.2
p00025,633
p00028,80020
p00090,111
p00095,1230
p00191,M  
p00300,0.2
p00301,2
p00400,8.6
p00403,8.5
p00405,2.5
p00452,2
p00453,653
p00607,< 0.01 
p00608,0.9
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.166
p00671,0.054
p00681,0.96
p00900,6.74
p00915,1.91
p00925,0.455
p00930,307
p00931,51.8
p00932,99
p00935,1.63
p00940,79.3
p00945,< 0.18 
p00950, 3.81 d
p00955,12.0
p01000,< 0.12 
p01005,40.0
p01010,< 0.060 
p01020, 643 d
p01025,E 0.030 n
p01030,E 0.03 n
p01035,< 0.040 
p01040,< 0.40 
p01046,64.7
p01049,0.11
p01056,6.17
p01057,< 0.040 
p01060,1.27
p01065,< 0.06 
p01075,< 0.200 
p01080,56.9
p01085,< 0.10 
p01090,18.8
p01095,< 0.200 
p01106,2.2
p01130,31.2
p01145,< 0.08 
p07000,0.0
p22703,< 0.040 
p30210,136
p39086,539
p49933,0.0
p49934,0.05
p50280,2001
p62854,0.91
p63676,1.0
p70300,738
p70301,< 732 
p70303,1.0
p71846,1.15
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.807 @d
p71999,15.0
p72004,40
p72019,446.9
p75985,1.0
p82081,-4.42
p82082,-97.1
p82085,-13.01
p90095,1210
p99111,1
p99114,0.07
p99115,0.08
p99119,M  
