,2005-10-01 16:00:00+00:00
agency_cd,USGS
site_no,385816104411201
sample_dt,2005-10-01
sample_tm,10:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,"L-2760034 Field value 2 is unclear,  CH"
p00010,12.0
p00020,20.3
p00025,585
p00028,80020
p00090,-28.7
p00095,212
p00191,3e-05
p00300,0.1
p00301,1
p00400,7.5
p00403,7.7
p00405,4.1
p00453,80
p00608,0.05
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,< 0.018 
p00671,< 0.006 
p00681,0.64
p00900,60.8
p00915,22.0
p00925,1.35
p00930,17.7
p00931,0.99
p00932,38
p00935,1.9
p00940,2.13
p00945,32.6
p00950,0.51
p00955,19.4
p01000,E 0.08 n
p01005,73.9
p01010,E 0.050 n
p01020,44
p01025,0.1
p01030,0.04
p01035,E 0.020 n
p01040,10.0
p01046,298
p01049,0.19
p01056,108
p01057,< 0.040 
p01060,1.42
p01065,< 0.06 
p01075,< 0.200 
p01080,170
p01085,< 0.10 
p01090,0.91
p01095,< 0.200 
p01106,< 1.6 
p01130,22.9
p01145,10.9
p07000,1.6
p22703,< 0.040 
p39086,66
p49933,15.86
p49934,0.08
p50280,2001
p62854,E 0.04 n
p63676,0.5
p70300,148
p70301,E 138 
p70303,0.2
p71846,0.059
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.13 c
p71999,15.0
p72004,45
p75985,1.0
p82081,-13.07
p82082,-83.7
p82085,-11.04
p90095,208
p99111,1
