,2005-11-15 20:00:00+00:00
agency_cd,USGS
site_no,385036104364101
sample_dt,2005-11-15
sample_tm,13:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00010,14.0
p00028,80020
p00090,-112
p00095,1170
p00191,M  
p00300,M  
p00400,8.8
p00403,8.3
p00405,0.2
p00452,3
p00453,95
p00607,< 0.03 
p00608,0.21
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,< 0.018 
p00671,< 0.006 
p00681,0.72
p00900,53.3
p00915,20.8
p00925,0.279
p00930,227
p00931,13.5
p00932,90
p00935,0.69
p00940,10.5
p00945, 426 d
p00950,0.8
p00955,10.4
p01000,0.15
p01005,13.7
p01010,< 0.060 
p01020,22
p01025,< 0.040 
p01030,0.13
p01035,< 0.040 
p01040,E 0.22 n
p01046,27.6
p01049,< 0.080 
p01056,12.0
p01057,< 0.040 
p01060,3.3
p01065,0.11
p01075,< 0.200 
p01080,177
p01085,< 0.10 
p01090,E 0.43 n
p01095,< 0.200 
p01106,E 1.5 n
p01130,18.9
p01145,0.23
p07000,0.0
p22703,< 0.040 
p30210,27.7
p39086,82
p49933,4.66
p49934,0.06
p50280,2001
p62854,0.24
p63676,0.1
p70300,746
p70301,E 746 
p70303,1.01
p71846,0.264
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.098 @
p71999,15.0
p72004,30
p72019,90.93
p75985,1.0
p82081,13.71
p82082,-72.2
p82085,-9.61
p90095,1140
p99111,1
p99114,0.02
p99115,0.04
p99119,M  
